gene	associated	HiC	Density	numPeaks	concDMSO	concNutlin
TRIM62	0	2	1	1	9.19	8.46
NAT14	1	1	2	2	11.97	12.26
TRIM66	0	2	1	1	9.93	9.92
MIR210HG	1	1	2	1	12.7	12.99
CD109	0	1	1	1	10	9.8
SHOC2	0	2	1	1	4.09	3.33
AMIGO2	0	2	1	1	10.13	10.04
IGIP	0	2	2	1	9.54	9.76
ERCC1	1	1	2	2	12.3	12.68
LCAT	1	1	2	3	12.32	12.75
DKK3	0	1	1	3	10.52	10.35
NLRP10	0	2	1	1	6.48	7.51
LYL1	1	1	2	2	12.41	12.71
BBC3	1	1	2	3	11.7	11.9
CEBPB	0	1	1	3	11.3	11.14
SERTAD2	0	2	1	3	8.3	8.69
NDRG3	0	1	1	1	10.8	10.79
LOXL4	0	2	1	1	4.73	6.87
MZF1	1	1	1	3	0.0	0.0
RALGAPB	0	1	1	1	9.99	9.73
PRR5	0	1	1	3	10.4	10.44
PHKB	0	3	1	1	6.95	6.58
KDM4C	0	2	1	1	-0.08	-0.15
RABGGTA	1	1	2	2	11	11.55
ABCB6	0	1	2	3	11.69	11.72
MFSD8	0	2	1	1	-0.08	5.23
STARD9	0	1	1	1	10.7	10.58
ZC3H7A	0	1	1	3	10.66	10.6
TPP1	0	2	2	1	9.72	9.58
MFSD3	1	1	2	3	13.06	13.44
WARS	0	1	2	1	10.5	10.84
CTNNA1	0	1	1	1	10.28	10.14
MCC	0	2	1	3	-0.08	-0.15
NOTCH1	1	1	2	3	12.56	13
NOTCH2	0	1	1	2	8.58	8.21
NOTCH3	1	1	2	2	11.71	11.92
SSR1	0	2	1	2	-0.08	-0.15
GOLGB1	0	2	1	1	-0.08	-0.15
TCTEX1D4	1	1	1	3	11.93	12.45
PMAIP1	0	2	1	2	6.79	6.2
TPBG	0	2	1	1	7.52	5.66
LURAP1L	0	2	1	1	-0.08	-0.15
BLCAP	0	1	1	1	10.12	10.06
PTENP1	0	1	1	3	9.5	9.48
SLC30A1	0	2	1	1	8.64	8.23
CERS5	0	1	2	2	11.13	10.94
BHLHE40	0	2	1	3	-0.08	6.24
GADD45A	0	2	1	3	9.31	9.38
RORA	0	3	1	1	-0.08	-0.15
NXPE3	0	2	1	1	1.86	3.07
KLHDC10	0	1	1	1	9.7	9.87
ADM2	1	1	2	2	12.58	13
FAM210B	0	3	1	1	-0.08	-0.15
GM2A	0	2	1	1	9.1	9.04
CNN3	0	2	1	1	9.35	8.33
HDAC11	0	2	1	2	4.86	-0.15
MYO5A	0	2	1	3	6.73	6.66
CHAC1	1	1	2	1	11.71	11.71
SYNC	0	1	2	1	11.06	11.1
MIR320A	1	1	2	3	11.18	11.45
TNFRSF14	1	2	2	2	11.33	11.72
FAM13C	0	2	1	1	-0.08	-0.15
MAML2	0	2	1	1	7.3	6.24
TWSG1	0	1	1	1	8.68	7.78
PIK3IP1	0	1	2	3	11.34	11.5
FNDC3B	0	2	1	1	8.34	8.48
ROMO1	0	1	1	1	11.26	11.02
TUBB6	0	1	1	3	9.87	9.79
TNFRSF1A	1	1	2	3	11.99	12.08
NYNRIN	1	1	2	3	10.74	10.83
MKNK2	1	1	2	3	12.87	13.25
PSTPIP2	0	1	1	1	-0.08	3.39
BCAS4	0	1	1	3	10.53	10.39
CD9	0	1	2	3	11.3	11.41
DRAM1	0	2	1	2	-0.08	1.58
APH1B	0	1	1	3	10.1	9.86
CD82	0	3	1	2	9.56	9.44
MARK4	1	1	2	2	11.93	12.26
STOX2	0	2	1	1	-0.08	-0.15
LINC00294	0	2	1	2	6.05	8.04
DPM1	0	1	1	2	10.22	10.2
BNIP3L	0	3	1	1	-0.08	7.33
SMTN	1	1	2	3	11.86	12.25
TMEM87B	0	1	1	1	9.27	8.97
LRP1	1	1	2	3	12.57	12.89
NEAT1	1	1	2	3	13.04	13.38
GALNT11	0	2	1	3	7.24	7.44
PLXNA2	0	5	1	3	-0.08	-0.15
CDS2	0	3	1	1	9.45	8.7
CHURC1	0	1	1	1	6.18	8.03
LINC00475	0	1	1	3	9.8	9.59
TMTC1	0	3	1	1	8.07	7.58
HARS2	0	2	2	1	9.57	9.93
CDH13	0	3	1	1	8.41	8.5
CDH15	1	1	2	3	12.03	12.3
MAP4K4	0	1	1	2	8.26	7.6
LIMK2	0	1	2	3	11.34	11.5
SPATA20	1	1	2	1	11.91	12.25
UCN2	1	1	2	3	12.62	13.25
BCL9L	1	1	2	1	11.74	12.15
FAM180A	0	2	1	1	7.54	7.45
PLEKHF1	0	3	1	1	9.79	8.87
BRI3	0	2	1	2	10.38	10.69
NRG1	0	3	1	1	-0.08	-0.15
HSPB2	0	2	1	1	8.74	7.91
CLEC11A	0	3	2	1	11.31	11.46
PSAT1	0	2	1	1	-0.08	-0.15
TOM1L2	0	1	1	1	11.5	11.56
YIF1B	1	1	2	2	11.59	11.81
SLFN5	0	3	2	2	6.55	7.61
BCL2L1	0	1	2	3	10.35	10.35
DNAH10	0	1	2	1	10.39	10.33
TMOD2	0	2	1	1	8.04	7.56
EDEM1	0	2	1	3	-0.08	3.91
ZNF79	1	1	2	3	11.88	12.12
APLP2	0	2	1	1	8.86	7.83
PBXIP1	1	1	2	3	11.89	12.07
GSN	0	1	1	3	9.78	9.92
GLI2	0	1	1	3	9.84	9.09
MMADHC	0	2	1	1	-0.08	4.47
NAV1	0	1	2	3	10.99	11.04
GOLGA2	1	1	2	1	12.27	12.65
GOLGA4	0	2	1	1	8.44	7.88
GOLGA5	0	2	1	1	-0.08	7.5
PTBP3	0	1	1	3	9.49	8.63
ISCU	0	2	1	1	10	9.76
FNTA	0	3	1	3	7.56	4.52
SCAMP1	0	2	1	1	6.26	5.93
HK1	0	1	1	1	10.23	10.21
TSPAN4	1	1	2	2	12.46	12.8
TSPAN9	0	1	1	2	10.07	9.76
ELFN1	1	1	1	1	11.25	11.5
ELFN2	1	1	2	3	11.88	12.26
KCTD11	1	1	2	1	12.51	12.82
ZNF441	0	1	2	1	11.06	11.16
CSPG4	1	1	2	2	11.51	11.96
ZKSCAN1	1	1	2	2	11.15	11.39
ALDH1L2	0	2	1	2	9.35	8.95
KDM5B	0	1	1	2	10.5	10.38
LRP10	1	1	2	3	11.72	11.89
AFAP1L2	0	2	1	1	-0.08	-0.15
DCP1B	0	1	1	1	9.85	9.39
SLC25A32	0	2	1	2	8.09	8.1
FAM177A1	0	1	1	1	9.37	7.97
TMEM106A	0	1	2	2	12.14	12.23
THBS2	0	2	1	2	-0.08	-0.15
CPA4	0	1	1	3	10	9.89
THBS1	0	1	1	2	11.76	11.73
PPME1	0	1	1	2	10.28	9.79
SAMD8	0	1	1	1	9.44	9.12
ZNF281	0	2	1	2	8.98	8.94
GYS1	1	1	2	3	12.46	12.83
HEXIM1	1	1	2	2	12.04	12.32
TRIP4	0	1	1	1	10.32	9.82
ETV6	0	2	1	1	7.88	7.94
OSBP	0	2	1	1	8.83	8.34
LRRC15	0	2	1	1	9.38	9.23
TMEM50B	0	1	1	1	9.47	9.23
BTBD3	0	3	1	1	-0.08	-0.15
EHD4	1	1	1	1	11.33	11.54
EHD3	0	2	1	1	-0.08	-0.15
EHD1	1	1	2	2	12.47	12.75
USP15	0	4	1	1	-0.08	-0.15
STOM	0	2	1	3	10.3	10.2
CCNG2	0	3	1	3	-0.08	2.08
ABL2	0	2	1	1	7.07	7.73
TMED7	0	2	1	1	-0.08	-0.15
BAIAP2L1	0	2	1	2	9.82	9.7
PML	0	1	2	1	11.11	11.03
PDCD4	0	2	1	1	-0.08	-0.15
TSKU	0	1	1	1	10.5	10.47
ARL6IP5	0	2	1	1	4.12	-0.15
HMGA2	0	2	1	3	9.39	9.02
ARFGEF1	0	3	1	2	-0.08	-0.15
PSPH	0	2	1	1	6.82	6.73
ID3	1	1	1	3	11.62	11.91
ID1	0	1	2	3	10.26	10.49
ANKRD33B	0	2	1	3	6.92	5.02
LOC284454	1	1	2	3	12.21	12.44
UTP3	0	2	2	2	3.93	5.11
SRC	0	1	1	2	10.88	10.83
VCAN	0	2	1	1	-0.08	-0.15
SLC33A1	0	2	1	1	-0.08	-0.15
ELF1	0	2	1	1	-0.08	4.17
SEC31A	0	1	1	1	8.05	7.73
XBP1	0	1	1	1	10.16	10.02
ANKRD1	0	2	1	1	-0.08	5.95
AHDC1	1	1	2	1	11.62	11.98
ZBTB43	0	1	1	1	10.35	10.62
DISP2	1	1	2	3	12.06	12.35
MTA2	1	1	2	3	12.28	12.53
SRA1	0	2	2	1	9.23	8.88
LONP2	0	3	1	1	6	5.29
PDGFA	1	1	1	3	11.51	11.83
PDGFC	0	2	1	2	-0.08	-0.15
PDIA6	0	2	1	2	9.13	8.81
PDIA4	0	2	1	3	8.67	8.98
AP5Z1	1	1	1	1	11.16	11.51
PLAT	0	1	1	1	10.57	10.4
GPC1	1	2	1	2	11.04	11.84
RAB3D	1	1	2	1	11.96	12.2
LUZP1	0	1	1	1	11.01	10.75
RAB3A	1	1	2	3	12.07	12.27
ARMC5	0	3	2	1	11.57	11.64
BBS9	0	2	1	1	6.16	4.72
BBS2	0	1	2	1	10.32	10.24
SLC7A11	0	2	1	1	-0.08	-0.15
GDNF	0	3	1	3	7.93	7.53
WNT16	0	2	1	2	-0.08	6.41
ESM1	0	2	1	2	7.38	7.7
